shift_batch_id,production_volume_kg,chemical_usage_liters,etp_status,electricity_usage_kwh,,etp_cost_bdt,etp_capacity_liters,ph,bod_mg_per_l,cod_mg_per_l,risk_score
B38893,5925.9,43834.4,1,18874.1,,1140.2,59292,7.52,125.2,294.5,16.77
B26361,3860.2,37205.1,1,8589.2,,1668.2,70729,7.08,143.4,393.6,13.43
B56566,2851.5,28170.1,0,7923.9,,3.7,53747,10.3,582,1509,88.2
B14207,3573.8,27312.6,1,10535.1,,953.6,61563,8.97,87.5,258.9,16.78
B62350,3219,26493.3,0,9031.9,,70.8,65784,11.75,805.9,1988.9,100
B99166,5482.1,46453.8,1,17792.7,,1302.4,68306,7.79,97.6,287.5,15.79
B93748,3570.7,26794.9,1,10622.5,,1736.7,67759,7.5,98,295.4,7.59
B20322,5049.6,36269.1,1,18312.4,,1109.8,54551,8.96,144.6,506.3,24.06
B98039,3820.9,36467.2,1,12129.1,,1111,64845,6.64,89.9,272.8,7.44
B97684,2489,17474.8,1,5907.8,,1052.1,57928,6.69,144.4,534.2,13.7
B17944,1701.6,16988,1,5100,,778.1,64573,7.23,88.5,358.2,10.78
B22224,2594.9,19784.6,1,6027.3,,1166.5,67071,8.58,99.9,416.2,20.11
B85914,5130.9,43219.8,0,11236.6,,78.8,66718,10.43,642.1,1814.9,90.25
B85880,9020,60804.4,1,24451.1,,1077.7,58472,8.55,133.6,482.8,22.74
B83792,3661.3,32638,1,10808.1,,1253.8,67899,7.19,104,259.1,12.5
B82692,5377.3,36564.3,0,18325.1,,12.6,70866,12.42,481.1,1532.3,93.89
B22097,2296.4,15755.5,1,4924.7,,1158.6,59359,7.9,93.6,180.5,11.96
B82420,4758.5,37226.4,1,10598.9,,1488.7,73510,8.84,112.7,377.4,18.96
B31299,5575.8,56416.1,1,18496.1,,1086.7,57611,8.65,161.9,448.8,20.02
B39831,5885.1,38453.4,0,18207.2,,69.1,53402,12.34,566.6,1397,96.58
B15014,3681.4,33518.6,1,7919.8,,1269.1,53999,8.53,115.4,422,9.87
B57739,1997.8,16435.1,1,6181.6,,905.9,50686,8.13,211.2,647.3,23.25
B32810,1820.8,18991.5,1,5693.1,,1425.8,74051,6.98,103.4,223.2,4.86
B77561,6557.9,50515.3,1,15616.5,,745.7,47164,7.33,130.2,507.3,14.16
B60328,5163.3,46761.6,1,12115.4,,737.9,64858,8.95,67.6,165,10.14
B97500,3188.4,23824.5,1,10581.4,,1132.3,72400,8.87,107.2,277.5,12.22
B78327,5374.4,46811.5,1,14754.5,,1622,72356,7.34,163,526.2,17.2
B65069,3274.5,24123.9,1,7854.9,,888,66349,7.15,135.9,406.2,11.39
B73993,4637.1,44457.1,1,15967,,593.3,34099,7.17,179.1,512.4,18.1
B70515,842.6,7123.9,1,3116.3,,1092.3,69353,7.87,159.5,500,16.87
B95426,3740.4,28102.1,1,9864.7,,1364.3,57291,8.5,54.6,133.9,11.47
B31465,5169.8,34251.9,1,15572.4,,1390.4,56667,7.4,118.5,404.3,11.37
B84177,1439.5,10149.9,0,4269.5,,6.1,47356,11.92,772.5,2516.2,100
B80539,3408.3,27379.3,0,9229.8,,8.4,44418,12.86,377.3,1214.6,97.41
B56507,7745.1,64867.9,1,18529,,1226.7,71397,8.25,66.2,162.3,9.55
B39045,6354.5,50182,0,14263.3,,57.6,67309,11.21,575.6,1948.8,92.91
B34267,4611.8,37079.2,1,13402,,907.5,62179,6.69,129.8,415.6,17.35
B26551,4396.4,38784.3,1,14575.1,,865.1,59728,8.12,146,360.4,17.46
B83772,4514.7,29474,1,10738.1,,1403.5,88717,6.2,105,273.2,11.07
B37235,5669.5,49584.8,0,14025.4,,30.4,48448,12.68,529.7,1567,99.99
B91927,300,2396.8,1,1354,,977.6,47099,6.1,112.3,425.3,19.63
B62757,3041.7,29583.8,1,7182.1,,872.8,61848,8.38,58.3,182.7,8.81
B32962,4799.5,40723,0,8966.7,,7.3,58501,12.87,722.8,2491.4,100
B82102,2175.6,15358.1,1,6732.8,,925.6,62773,8.57,171.6,459.5,19.25
B45003,5668.1,39551,1,18482.4,,1395.8,61987,7.56,123.2,361.4,13.17
B30181,6236.6,57862.5,1,13313.9,,619.3,56891,6.28,104.1,422.8,12.03
B76550,4052.9,30543.2,1,13944,,1477.1,77680,8.64,97.5,340.6,21.38
B60196,7396.2,72857,1,21442.9,,838.6,52723,7.13,179,718.5,11.15
B78937,4585.9,43409.9,1,14391.2,,1854.5,74125,6.11,114.4,292.5,13.98
B80912,5499.7,54918.3,0,18991.2,,49.9,53267,10.89,740.6,2441.4,100
B59131,3146.8,21009.4,1,11525.4,,1191.3,57500,8.62,62.3,243.1,13.78
B70981,3062.6,22640.8,1,7056.8,,1021.4,53396,7.49,94.8,294.4,7.28
B48696,1160.6,10807.7,0,2906.5,,20,54397,12.46,455.1,1120.5,99.32
B42850,5370.9,34908.9,1,18680.4,,1422.1,58146,8.33,45,122.3,7.8
B57953,4020.3,39324.8,1,12303.8,,749,54296,6.27,88.9,237.3,9.79
B83048,7402.4,55529.5,1,24429.6,,1007.9,43857,6.42,188,735,18.48
B39015,4576.2,39534.8,1,12418.4,,1166.3,48451,6.7,113,281.9,8.2
